CustomerID,CustomerName,CustomerAddress,Customer_PhoneNumber,CustomerEmail
0,William Adams,"9851 David Green
Tonyaburgh, VA 02853",(916)427-7276x861,lisa00@example.net
1,Anthony Wiggins,"24682 Holly Stravenue
Mooreville, NH 13901",769.318.4373,michellefernandez@example.com
2,Ashley Duke,"10184 Washington Trace Apt. 679
East Brandistad, OR 87389",702.520.3286,cooperwilliam@example.com
3,Brandon Taylor,"87194 Jeff Rue
Mitchellbury, CA 50463",622-527-9530,fsilva@example.net
4,Brittany Watkins,"850 Julia Groves
Hartview, WI 95954",759-517-8359,petersjoseph@example.net
5,Curtis Cummings,"25468 Eric Causeway Suite 343
East Steven, SC 48548",(647)294-0826,stephanie69@example.net
6,Haley Wilcox,"PSC 3319, Box 1711
APO AE 54478",001-345-422-5023,sharon86@example.net
7,Tara Martinez,"49488 Rachel Port
Anthonybury, FL 31446",267.413.3199x19807,unknown
8,Sarah Carter,"74613 Hensley Crossroad Suite 746
Port Kelly, NH 40035",(742)946-6553x159,anthony69@example.org
9,Abigail Simon,"57371 Wilson Alley
Patriciaburgh, PA 36781",213.290.9906x79391,lawrence51@example.com
10,Collin Ward,"52686 Becky Islands
Abigailfurt, NE 86929",391-479-3624,unknown
11,Laura Hughes,"054 Alyssa Mill
Lake Alexis, MT 13214",+1-981-260-7807,nicolaslopez@example.org
12,Amber Warren,"77320 Kelly Turnpike
Wilsonside, MA 57592",932.415.9074x319,brittney37@example.net
13,Amanda Ellis,"USNV Riley
FPO AA 14148",420-731-2185,steven36@example.net
14,Samantha Reynolds,"PSC 9615, Box 1463
APO AP 20309",001-966-301-3601x51483,lindasosa@example.com
15,Nicole Torres,"496 Calderon Parkway Apt. 220
Port Joshua, HI 80224",547-514-7610x84867,davisjoy@example.net
16,Casey Sawyer,"4059 Martha Spring
Markton, NC 56321",5614632938,raymondrobert@example.net
17,Candice Lynn,"4472 Stein Drive
Hansenville, ID 74427",+1-554-749-5430x97120,pattersonjerry@example.net
18,Joshua Hernandez,"029 Teresa Shores Suite 231
Adamton, ID 46705",(502)880-2602,martinchristopher@example.com
19,Randall Duncan,"33737 Lloyd Corner
South Bobbyton, VT 96254",(306)878-3107x464,willie19@example.com
20,David Browning,"01334 Curry Roads Apt. 102
Denisefort, FM 93551",(989)808-0932x57119,wilsonwilliam@example.net
21,Andrea Miles,"USS Roberts
FPO AE 36880",+1-726-418-7385,zreyes@example.com
22,Brian Richards,"4788 Karen Lodge Suite 745
South Alexandrafort, ND 91947",(277)713-5055,macosta@example.com
