Date,ProductName,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,CustomerName,CustomerAddress,Customer_PhoneNumber,CustomerEmail,Staff_Name,Staff_Email,DayOfWeek,TotalSales
2023-01-01 00:00:00,Vanilla Cake,2,12.532304149429804,South,Cash,True,Rainy,20.654913930695127,Poor,Neutral,30,In Store,William Adams,"9851 David Green
Tonyaburgh, VA 02853",(916)427-7276x861,lisa00@example.net,John Bridges,pdavidson@example.com,Sunday,25.064608298859607
2023-01-01 01:00:00,Red Velvet Cake,1,7.083069895947755,South,Cash,False,Rainy,23.549496972050132,Average,Positive,33,In Store,Anthony Wiggins,"24682 Holly Stravenue
Mooreville, NH 13901",769.318.4373,michellefernandez@example.com,Sarah Bentley,ajohnson@example.net,Sunday,7.083069895947755
2023-01-01 02:00:00,Chocolate Cake,5,6.736064100180581,North,Cash,True,Rainy,,Excellent,,43,Phone Order,Ashley Duke,"10184 Washington Trace Apt. 679
East Brandistad, OR 87389",702.520.3286,cooperwilliam@example.com,Connie Cervantes,michele29@example.net,Sunday,33.68032050090291
2023-01-01 03:00:00,Carrot Cake,2,7.314823479246191,North,Cash,False,Cloudy,20.137483252757246,Poor,Positive,32,Online Order,Brandon Taylor,"87194 Jeff Rue
Mitchellbury, CA 50463",622-527-9530,fsilva@example.net,Jessica Stewart,xwilson@example.org,Sunday,14.629646958492382
2023-01-01 04:00:00,Pizza Pepperoni,1,7.577727219906418,East,Credit Card,True,Cloudy,23.02098654190831,Good,Neutral,58,In Store,Brittany Watkins,"850 Julia Groves
Hartview, WI 95954",759-517-8359,petersjoseph@example.net,Cheryl Carpenter,christine96@example.org,Sunday,7.577727219906418
2023-01-01 05:00:00,Red Velvet Cake,2,14.568156389954508,West,Cash,True,Rainy,,Poor,Neutral,30,Phone Order,Curtis Cummings,"25468 Eric Causeway Suite 343
East Steven, SC 48548",(647)294-0826,stephanie69@example.net,Jessica Coleman,sandra03@example.org,Sunday,29.136312779909016
2023-01-01 06:00:00,Red Velvet Cake,3,16.114718754118677,North,Credit Card,False,Cloudy,29.201027697832565,Excellent,,15,In Store,Haley Wilcox,"PSC 3319, Box 1711
APO AE 54478",001-345-422-5023,sharon86@example.net,Kelly Johnston,edwardsaaron@example.org,Sunday,48.34415626235603
2023-01-01 07:00:00,Carrot Cake,5,12.94987284389628,West,Online,False,Sunny,,Average,Positive,16,Online Order,Tara Martinez,"49488 Rachel Port
Anthonybury, FL 31446",267.413.3199x19807,,Rebecca George,michaelperez@example.org,Sunday,64.74936421948141
2023-01-01 08:00:00,Carrot Cake,4,17.435265988182366,East,Cash,True,Rainy,,Poor,Neutral,29,Phone Order,Sarah Carter,"74613 Hensley Crossroad Suite 746
Port Kelly, NH 40035",(742)946-6553x159,anthony69@example.org,Sara Aguilar,nicholasmullins@example.org,Sunday,69.74106395272946
2023-01-01 09:00:00,Pizza Margherita,2,19.8689484010045,West,Credit Card,False,Rainy,20.42287010670833,Average,Neutral,53,In Store,Abigail Simon,"57371 Wilson Alley
Patriciaburgh, PA 36781",213.290.9906x79391,lawrence51@example.com,Michelle Pace,freemanjose@example.com,Sunday,39.737896802009
2023-01-01 10:00:00,Chocolate Cake,3,17.30018943679034,South,Online,False,Cloudy,,Good,Neutral,42,In Store,Collin Ward,"52686 Becky Islands
Abigailfurt, NE 86929",391-479-3624,,Nicole Kane DDS,jlopez@example.net,Sunday,51.90056831037102
2023-01-01 11:00:00,Carrot Cake,4,15.423235605139388,West,Online,False,Rainy,33.22228729383366,Poor,Positive,15,In Store,Laura Hughes,"054 Alyssa Mill
Lake Alexis, MT 13214",+1-981-260-7807,nicolaslopez@example.org,Edgar White,laura24@example.org,Sunday,61.69294242055755
2023-01-01 12:00:00,Pizza Beef Double decker,4,12.9873904915572,East,Online,True,Sunny,26.238704814462643,Poor,Positive,19,Online Order,Amber Warren,"77320 Kelly Turnpike
Wilsonside, MA 57592",932.415.9074x319,brittney37@example.net,Jacob Schroeder,bescobar@example.com,Sunday,51.9495619662288
2023-01-01 13:00:00,Cheesecake,2,11.732796075120623,East,Credit Card,False,Cloudy,30.805000537489896,Good,Negative,56,Phone Order,Amanda Ellis,"USNV Riley
FPO AA 14148",420-731-2185,steven36@example.net,Chad Patterson,byrderic@example.net,Sunday,23.465592150241246
2023-01-01 14:00:00,Pizza Pepperoni,1,6.265885708168135,East,Cash,False,Cloudy,33.77427553069937,Good,Positive,36,Phone Order,Samantha Reynolds,"PSC 9615, Box 1463
APO AP 20309",001-966-301-3601x51483,lindasosa@example.com,Donna Weiss,zreynolds@example.com,Sunday,6.265885708168135
2023-01-01 15:00:00,Chocolate Cake,2,10.990531225920364,West,Cash,True,Rainy,26.12060692404225,Good,Neutral,50,Phone Order,Nicole Torres,"496 Calderon Parkway Apt. 220
Port Joshua, HI 80224",547-514-7610x84867,davisjoy@example.net,Amy Lopez,matthewpotter@example.net,Sunday,21.981062451840728
2023-01-01 16:00:00,Pizza Beef Double decker,3,18.652019551732014,South,Credit Card,False,Rainy,22.869160565560957,Excellent,Negative,27,In Store,Casey Sawyer,"4059 Martha Spring
Markton, NC 56321",5614632938,raymondrobert@example.net,Ryan Carter,cartertyler@example.org,Sunday,55.956058655196045
2023-01-01 17:00:00,Vanilla Cake,4,17.120339448598294,North,Cash,False,Rainy,27.75676896285379,Excellent,Positive,15,Phone Order,Candice Lynn,"4472 Stein Drive
Hansenville, ID 74427",+1-554-749-5430x97120,pattersonjerry@example.net,Kenneth Gonzalez,jon97@example.net,Sunday,68.48135779439318
2023-01-01 18:00:00,Carrot Cake,2,8.240770475175308,South,Credit Card,True,Cloudy,33.62125530589782,Poor,Positive,30,In Store,Joshua Hernandez,"029 Teresa Shores Suite 231
Adamton, ID 46705",(502)880-2602,martinchristopher@example.com,John James,fernandezheather@example.net,Sunday,16.481540950350617
2023-01-01 19:00:00,Carrot Cake,1,11.999116770458238,West,Cash,True,Rainy,32.06561621206551,Poor,Positive,55,Online Order,Randall Duncan,"33737 Lloyd Corner
South Bobbyton, VT 96254",(306)878-3107x464,willie19@example.com,Brent Parker,,Sunday,11.999116770458238
2023-01-01 20:00:00,Red Velvet Cake,2,17.25084803837817,West,Online,False,Sunny,20.987447650447308,Poor,Positive,36,Phone Order,David Browning,"01334 Curry Roads Apt. 102
Denisefort, FM 93551",(989)808-0932x57119,wilsonwilliam@example.net,Jacob Medina,rebeccabrown@example.com,Sunday,34.50169607675634
2023-01-01 21:00:00,Pizza Beef Double decker,5,6.010768321782837,North,Cash,False,Rainy,30.38859200116373,Average,,46,In Store,Andrea Miles,"USS Roberts
FPO AE 36880",+1-726-418-7385,zreyes@example.com,Blake Ramirez,,Sunday,30.053841608914187
2023-01-01 22:00:00,Red Velvet Cake,1,10.810888785029888,West,Credit Card,True,Rainy,28.578462836884306,Good,Positive,30,Phone Order,Brian Richards,"4788 Karen Lodge Suite 745
South Alexandrafort, ND 91947",(277)713-5055,macosta@example.com,Barbara Campbell,wjohnson@example.com,Sunday,10.810888785029888
2023-01-01 23:00:00,Pizza Margherita,3,17.777618553109214,East,Credit Card,True,Cloudy,33.61194764519638,Poor,Neutral,29,Phone Order,Steven Reyes,"69646 Timothy Inlet Apt. 409
New Christina, NJ 81647",469-922-4394x0246,danielhines@example.net,Mary Mcgee,victoria48@example.com,Sunday,53.33285565932764
2023-01-02 00:00:00,Red Velvet Cake,4,11.058467962551855,East,Online,False,Rainy,21.837221252754457,Good,Neutral,56,Online Order,Jay Perez,"181 Rogers Plains
West Jessica, OR 09432",575.399.1973,stacie15@example.net,Kenneth Vega,jwang@example.com,Monday,44.23387185020742
2023-01-02 01:00:00,Pizza Margherita,2,6.1642196709716135,East,Credit Card,False,Cloudy,28.01054169806985,Excellent,Neutral,26,Phone Order,Cory Gonzales,"61969 Vasquez Flats Suite 844
Mcneilchester, IN 21947",522.744.0186x917,dmurphy@example.com,Jonathan Bell,,Monday,12.328439341943227
2023-01-02 02:00:00,Pizza Margherita,1,13.138015527983772,East,Cash,False,Rainy,33.191940402678384,Good,,15,Online Order,Micheal Dunn,"659 Hines Field
East Ashleybury, LA 29290",869-675-3202x452,olivia16@example.net,Phyllis Herman,,Monday,13.138015527983772
2023-01-02 03:00:00,Carrot Cake,5,17.926137423774428,East,Cash,True,Sunny,26.150356801126144,Average,,31,Phone Order,Misty Barrera,"2997 Breanna Plaza
Lake Samanthaburgh, IL 87257",738-460-9721x20310,vmoore@example.org,Bryan Beck,michael85@example.net,Monday,89.63068711887215
2023-01-02 04:00:00,Vanilla Cake,1,13.854283144297396,West,Online,False,Sunny,27.229923765993007,Average,Positive,55,Phone Order,Kelsey Cohen,"780 Martin Springs
East Cynthia, MT 32912",8032065419,matthewmartinez@example.com,Richard Stevenson,blackeugene@example.com,Monday,13.854283144297396
2023-01-02 05:00:00,Red Velvet Cake,5,8.394186623213477,North,Credit Card,True,Cloudy,21.056910165004375,Good,Negative,42,Phone Order,Katherine Mason,"54305 Hill Shoals
East Justinville, NJ 64488",(484)692-1660x57309,jcalderon@example.org,Timothy Dillon,omurray@example.com,Monday,41.970933116067386
2023-01-02 06:00:00,Pizza Beef Double decker,3,10.76359430206072,North,Online,True,Cloudy,24.172154606733663,Average,Positive,21,Phone Order,Christopher Jimenez,"2746 Thompson Burg Suite 466
Port Laurenview, MD 57695",6068589669,melaniechavez@example.com,Dr. John Guzman Jr.,allison40@example.com,Monday,32.29078290618216
2023-01-02 07:00:00,Pizza Margherita,4,11.751850417728983,East,Cash,True,Rainy,,Average,Neutral,23,Phone Order,Amy Wilson,"589 Brianna Summit Suite 897
Leeland, MT 61948",419.298.2871,sgill@example.net,Tony Martinez,dwayne45@example.org,Monday,47.00740167091593
2023-01-02 08:00:00,Carrot Cake,3,13.688995307307902,West,Online,False,Rainy,34.1768367311733,Excellent,Positive,36,Phone Order,Megan Johnson,"68130 Shawn Lodge
Markland, HI 53529",971-245-4871x9717,josephtorres@example.com,Christine Vargas,tracy79@example.net,Monday,41.0669859219237
2023-01-02 09:00:00,Pizza Pepperoni,2,16.390265386289194,South,Credit Card,False,Sunny,24.240010408117385,Poor,Negative,40,Online Order,Benjamin Moore,"Unit 0770 Box 8337
DPO AA 36811",(838)530-8015,stephaniemaddox@example.org,Emily Williams,allenbradley@example.org,Monday,32.78053077257839
2023-01-02 10:00:00,Chocolate Cake,1,6.483104264609532,South,Online,False,Rainy,26.91303102904478,Average,Negative,26,Online Order,Kyle Hall,"2684 Kristina Brook
North Sydney, PR 86893",(679)680-2205x7218,mackdavid@example.net,Jackie Johnson,,Monday,6.483104264609532
2023-01-02 11:00:00,Vanilla Cake,5,18.344780495263496,West,Credit Card,True,Sunny,30.069566353464197,Poor,Positive,21,In Store,Samuel Mercado,"123 Gallagher Lights Suite 948
Kathyport, SD 78208",971-221-9934x29055,,Cassandra Mitchell,jeff80@example.org,Monday,91.72390247631748
2023-01-02 12:00:00,Fruit Cake,5,5.184645545241134,East,Credit Card,False,Cloudy,,Good,Positive,29,Phone Order,Teresa Patel,"PSC 9512, Box 5441
APO AP 10986",+1-557-992-8706,jonathan93@example.com,Laura White,aaronschneider@example.net,Monday,25.923227726205667
2023-01-02 13:00:00,Pizza Pepperoni,1,10.550785020113828,North,Cash,True,Rainy,27.29663580712812,Good,Positive,52,Online Order,Ruth Irwin,"69917 Sullivan Brook Apt. 113
Reginabury, FM 59301",691.832.9638x493,wheelermichele@example.net,Courtney Gates,tarahamilton@example.net,Monday,10.550785020113828
2023-01-02 14:00:00,Chocolate Cake,1,5.411304649589865,West,Cash,True,Cloudy,31.078085592138613,Average,Negative,35,Phone Order,Justin Russo,"7201 Pope Fort
North Laurenside, RI 90302",(806)238-2527x74311,rwheeler@example.org,Diana Sanders,sweeneycorey@example.net,Monday,5.411304649589865
2023-01-02 15:00:00,Pizza Pepperoni,2,10.894613380179369,South,Cash,True,Rainy,33.00282819540599,Good,Neutral,28,Phone Order,Maria Tyler,"994 Kimberly Hill Suite 578
Christophertown, NY 63863",(505)296-4020x4743,,Michelle Ramirez,tyronecooke@example.org,Monday,21.789226760358737
2023-01-02 16:00:00,Red Velvet Cake,3,12.887188983099858,South,Credit Card,True,Sunny,29.3938891199364,Excellent,,16,Online Order,Kathy Potts,"3041 Matthew Summit
Makaylamouth, WY 80761",(489)884-6629,andersonsteven@example.com,Rebecca Barnes,mberg@example.org,Monday,38.66156694929957
2023-01-02 17:00:00,Pizza Margherita,5,12.675220798722677,South,Online,True,Cloudy,30.035802729754217,Average,Neutral,22,Phone Order,Jeffrey Wallace,"37834 Amanda Harbors Suite 544
Jonesport, KY 78476",852.761.7585x619,patrickfranklin@example.net,Emma Keller,jenniferwoodward@example.com,Monday,63.376103993613384
2023-01-02 18:00:00,Vanilla Cake,2,7.48442520542398,East,Credit Card,True,Cloudy,,Average,Negative,59,Online Order,Tracy Taylor,"109 Wise Hills Apt. 063
North Alexisside, IA 60545",569-655-4045x76834,knightjoshua@example.com,Angela Roman,kimberlyharrington@example.com,Monday,14.96885041084796
2023-01-02 19:00:00,Cheesecake,3,14.686107651434185,South,Cash,False,Rainy,34.186647458695205,Average,Positive,20,Online Order,Willie Bell,"48031 Fuller Via
North Sean, ID 13025",+1-257-625-2972x773,williamrosario@example.org,Bryce Bernard,washingtonashley@example.com,Monday,44.058322954302554
2023-01-02 20:00:00,Pizza Margherita,2,5.671676757570023,West,Cash,True,Cloudy,21.988611162267237,Good,Positive,51,In Store,Timothy Gallagher,"67964 Brian Knoll Apt. 214
Rileyshire, MN 32485",001-827-458-8592,,Jerry Collins DDS,michellepeterson@example.com,Monday,11.343353515140047
2023-01-02 21:00:00,Cheesecake,5,16.42860230198623,West,Online,False,Sunny,,Good,Negative,51,In Store,Dr. Kaitlyn Nguyen MD,"PSC 1269, Box 8741
APO AP 74383",(730)747-3474x2953,,Cynthia Carrillo,johnsonjohn@example.net,Monday,82.14301150993116
2023-01-02 22:00:00,Chocolate Cake,1,19.199666509903196,South,Cash,True,Cloudy,23.972244826674782,Average,Positive,47,In Store,Judith Brown,"4446 Mitchell Glens Suite 784
Port Michael, MI 24305",001-796-326-0144,mcbridegregory@example.org,Scott Moss,scalhoun@example.com,Monday,19.199666509903196
2023-01-02 23:00:00,Carrot Cake,1,10.096532407266768,West,Cash,False,Cloudy,34.00389715551877,Poor,Neutral,55,In Store,Holly Mooney,"24852 Maurice Views Apt. 255
North Connieland, SC 09318",892-609-7587x750,james44@example.com,Tammy Flores,todd17@example.org,Monday,10.096532407266768
2023-01-03 00:00:00,Fruit Cake,3,12.758590725714978,South,Cash,False,Rainy,30.799393090542193,Good,Negative,20,Phone Order,Christopher Miller,"49385 Erin Flats Suite 584
Barnesland, AK 15019",690-518-9867x63749,danielmartin@example.com,Christine Nunez,ocantu@example.com,Tuesday,38.27577217714493
2023-01-03 01:00:00,Pizza Beef Double decker,4,10.683654170882216,South,Online,False,Cloudy,31.307205694675535,Good,Negative,40,Phone Order,Michael Le,"59494 Brewer Cliff
Charlesville, MO 31287",001-934-813-2120x05852,vrivas@example.net,John Martin,michael70@example.org,Tuesday,42.73461668352886
2023-01-03 02:00:00,Pizza Margherita,3,5.100655854560899,North,Credit Card,False,Rainy,23.28588759589825,Average,Positive,53,In Store,Rachel Smith,"USNS Ray
FPO AE 70448",620.240.2397x019,brandon35@example.net,Phillip Hernandez,,Tuesday,15.301967563682698
2023-01-03 03:00:00,Vanilla Cake,4,10.78811754342674,East,Cash,True,Rainy,26.645599649527412,Poor,Negative,55,Online Order,Ashley Perry,"467 Sean Stravenue
Angelton, AS 09379",(795)222-3331,jonathonrogers@example.com,Leslie Stone,terrysean@example.net,Tuesday,43.15247017370696
2023-01-03 04:00:00,Pizza Pepperoni,2,16.875803888920196,East,Online,True,Cloudy,29.267197918839294,Average,Positive,51,Online Order,Kelly Cortez,"1882 Ryan Springs
East Kaylaport, DE 59530",+1-620-664-4725x2727,kristin81@example.org,Jason Eaton,qgriffin@example.org,Tuesday,33.75160777784039
2023-01-03 05:00:00,Vanilla Cake,2,13.939832632752227,North,Cash,True,Sunny,,Good,Positive,28,Online Order,Lindsey Nunez,"4424 Rosario Plain Suite 110
Williamsside, DE 85954",(369)207-7494x5580,melissafitzpatrick@example.net,Sheila Williams,,Tuesday,27.879665265504453
2023-01-03 06:00:00,Chocolate Cake,5,6.5188987192273835,North,Online,True,Rainy,21.559390638685844,Average,Negative,51,Online Order,Michael Baker,"1785 Laura Brooks
Kellerchester, AS 77756",(812)912-8173,jwilliams@example.net,Jonathan Johnson,andrew87@example.net,Tuesday,32.594493596136914
2023-01-03 07:00:00,Cheesecake,4,17.707092345406778,East,Cash,False,Cloudy,34.435479746817926,Average,Positive,22,Phone Order,Colleen Acevedo,"21128 Nelson Hollow
Port Taylorberg, OH 59125",001-844-457-5691x4284,longamy@example.net,Alexandra Wilson,heatherchang@example.net,Tuesday,70.82836938162711
2023-01-03 08:00:00,Pizza Pepperoni,5,12.966280173278642,South,Online,False,Rainy,33.35331005831834,Average,,53,Online Order,Andrea Martin DDS,"185 Robertson Pike
New Travis, MI 93092",9563352820,jessicawilson@example.net,John Fowler,hallstephanie@example.org,Tuesday,64.83140086639321
2023-01-03 09:00:00,Pizza Beef Double decker,1,17.62585042617014,South,Cash,False,Sunny,,Poor,Neutral,27,Online Order,Brian Perez,"07888 Jennifer Forks
Port Steventown, TX 96919",934-778-8708x87126,jharris@example.org,Scott Jimenez,luceroscott@example.org,Tuesday,17.62585042617014
2023-01-03 10:00:00,Pizza Beef Double decker,4,13.70332278177544,East,Credit Card,True,Sunny,32.34140364548498,Average,Positive,27,In Store,Steven Booth,"PSC 2047, Box 5184
APO AA 44580",209.698.4896x821,ltorres@example.net,Bethany Hudson,jonathan04@example.com,Tuesday,54.81329112710176
2023-01-03 11:00:00,Pizza Margherita,3,13.395326672569098,South,Cash,False,Rainy,,Good,,54,Online Order,Jacob Reese,"98995 Ricardo Fall
Port Joanna, GU 81575",653.693.0349,debra51@example.com,Holly Lara,wrightkelly@example.net,Tuesday,40.185980017707294
2023-01-03 12:00:00,Chocolate Cake,1,6.5788877779551855,North,Online,True,Sunny,26.92709722343028,Average,Positive,57,Phone Order,Charles Brooks,"045 Dominguez Plains
New Dannyshire, NM 07653",7094235871,normandavid@example.com,Tanya Kane,blevinstravis@example.net,Tuesday,6.5788877779551855
2023-01-03 13:00:00,Carrot Cake,1,7.510395997079419,South,Cash,False,Cloudy,24.71651158717108,Poor,Neutral,42,Online Order,Amy Jones,"5589 Garcia Shore Suite 378
Lake Aprilborough, NH 14688",855.319.7228,esmith@example.net,Alexander Anderson,jamesedwards@example.com,Tuesday,7.510395997079419
2023-01-03 14:00:00,Chocolate Cake,3,19.580378847448866,South,Credit Card,False,Cloudy,28.71452879947389,Excellent,Negative,32,Online Order,Patrick Perez,"06163 Perkins Knoll Apt. 675
Kimberlyside, LA 89645",974-921-3029,bolson@example.net,Jennifer Harrison,nlee@example.com,Tuesday,58.741136542346595
